"Aztreonam"	"Cefoxitin"	"Ciprofloxacin"	"Nalidixic_acid"	"Fusidic_acid"	"Vancomycin"	"Cycloserine_D"	"Fosfomycin"	"EDTA"	"Ethidium_bromide"	"Benzalkonium"	"Doxycycline"	"A22"	"Chlorhexidine"	"Puromycin"	"Actinomycin_D"	"Phenazine_monosulfate"	"Gliotoxin"	"Holomycin"	"Thiolutin"	"Acriflavine"	"Copper(II)_stress"	"Dibucaine"	"Cefaclor"	"Dipyridyl"	"Cerulenin"	"Triclosan"	"Mupirocin"	"PAC-holo"	"Sulfamonomethoxine"	"Trimethoprim"	"Rifampicin"	"Iron(II)_stress"	"Propidium_iodide"	"Novobiocin"	"SDS"
"Aztreonam"	1	0.852259649769615	0.643916164078425	0.690902358451128	0.106782818381984	0.44266917389245	0.158129263626578	0.416015525066069	0.0751488799639228	0.578644962475385	0.0368993111219504	0.124364847560909	-0.0396185905722423	-0.352878070489118	0.169868708804731	-0.420979812613642	-0.336408259113225	0.258778722841346	0.31986775609485	0.238973414377996	0.469703381106814	0.352697667398746	0.148396958353731	0.336463120613666	-0.26830141555821	-0.404126043226252	-0.198415398225067	-0.451379005090241	-0.248341780649697	-0.320245328876568	-0.388844274255066	-0.297919048894707	-0.470714726687416	-0.492204872642933	-0.349737410313226	-0.615738774741994
"Cefoxitin"	0.852259649769615	1	0.613240956602549	0.560763226739972	0.158237583187965	0.422289605168761	0.316211338943514	0.524056567720745	0.0902965990667625	0.539827119860289	0.113666805561459	0.266837913762316	0.0987479628400875	-0.425040441078805	0.12669496628431	-0.446769541917739	-0.431089028231491	0.00109424726945437	-0.0325108191456683	-0.121329589279897	0.247611175615853	0.0519344029767361	-0.127824761562945	0.185688888972812	-0.38803738102747	-0.333603368109956	-0.151135445253991	-0.26838166060609	0.00281717486485955	-0.255018727589259	-0.293164295505098	-0.302065586156315	-0.512628321192729	-0.513189291148155	-0.357945920794553	-0.59627477221108
"Ciprofloxacin"	0.643916164078425	0.613240956602549	1	0.831655652770629	-0.0435475782553239	0.0186054568363819	-0.182446707132623	0.0739848729276113	-0.147090459576425	0.288964477966799	-0.336305779528605	-0.112508211875817	-0.26209563373073	-0.47586225607724	-0.015589474928235	-0.754068147882617	-0.511761867357079	0.0459840469767131	0.150459824059479	-0.00711191651942471	0.134682606251338	-0.0513130858959619	-0.386013909824452	0.164714171061025	-0.409851680598065	-0.430012357985556	-0.133128878237307	-0.0441349723218207	0.0345786537186632	-0.0450894223654108	0.148413898507004	-0.104020898040867	-0.29631474160211	-0.231820387334997	0.008431394880659	-0.252839139036094
"Nalidixic_acid"	0.690902358451128	0.560763226739972	0.831655652770629	1	0.294859740656756	0.247830728118346	-0.177626502488576	0.0469057805177783	-0.0911955680280378	0.423312189151088	-0.13466478947791	-0.0566227814550589	-0.0884963009493514	-0.328497877337004	0.0923720344002753	-0.503618968458956	-0.376125116879432	0.275096874619096	0.405717923194646	0.259666891570683	0.295370203171578	0.00996217734609224	-0.151236712513734	-0.0272271827553479	-0.374037031836945	-0.403688252821492	-0.0556652171843709	-0.26406555745168	-0.134109807842751	-0.235876067932493	-0.0441680633934743	0.0936714887152165	-0.404747930424695	-0.398050422103244	-0.117382295806783	-0.464565410916873
"Fusidic_acid"	0.106782818381984	0.158237583187965	-0.0435475782553239	0.294859740656756	1	0.340705364230253	0.0321976019202765	-0.030302438881477	0.201035140374435	0.358412293154279	0.395309964891963	0.266923122762925	0.437212111131001	0.183084110332395	0.208329238653607	0.274646928755946	0.167758833051277	0.279926561858049	0.253379725690715	0.234893151576669	0.198148360842265	-0.124970074182082	0.135325655979863	-0.423988029646603	-0.219668256599785	-0.100991438754908	0.0466679184187156	-0.179408644433581	0.0161686592210043	-0.474730226356368	-0.37858754702399	0.186856775108448	-0.305150610771448	-0.345942444642032	-0.254185633078675	-0.391929969123503
"Vancomycin"	0.44266917389245	0.422289605168761	0.0186054568363819	0.247830728118346	0.340705364230253	1	0.0669638192137585	0.206169608970728	-0.257168199756226	-0.045465635201204	-0.0351150618657477	-0.205699514767476	0.378176095077034	-0.173927037557745	0.136060888103791	0.087944668741964	-0.202951467921871	-0.055718615251951	0.0337559989038593	0.00954247738582221	-0.00781627145101833	-0.181253385013807	0.0592756964724158	-0.0932688341249025	-0.0589103354286928	0.036647421731468	-0.338702486687487	-0.143453348731917	-0.168974077870911	-0.178522815329371	-0.240608076434509	0.386777617084111	0.0311228401146532	-0.170802331071392	0.0226497654004816	-0.206487305620999
"Cycloserine_D"	0.158129263626578	0.316211338943514	-0.182446707132623	-0.177626502488576	0.0321976019202765	0.0669638192137585	1	0.697597368771357	0.479366472774497	0.384813096859282	0.515461738872999	0.49417253735766	0.112215863283625	-0.0862087883130648	0.161645438574461	-0.0234370132446181	-0.0766249658680307	-0.0528168498555939	-0.37607870191662	-0.301384120070109	-0.0839031660070143	0.10749451657714	0.0798473485490192	0.165958603797198	-0.0957273617218473	0.101173986335279	0.270383825746782	-0.0586508862373128	0.143276057648161	-0.0504959905321822	-0.350516346769638	-0.429510213972453	-0.443968612225605	-0.403207400355523	-0.545628587915127	-0.441794980256779
"Fosfomycin"	0.416015525066069	0.524056567720745	0.0739848729276113	0.0469057805177783	-0.030302438881477	0.206169608970728	0.697597368771357	1	0.211395774389106	0.354330195251714	0.23692931927071	0.316769694597114	-0.257704869136935	-0.494955449577476	-0.193589608958105	-0.111527258234264	-0.351636402404014	-0.170522674684853	-0.34794872830569	-0.304464795709297	-0.00688831867540199	0.10411109146494	-0.125825395266806	0.331990844760501	-0.0202595736822375	0.2463923354112	0.318347599306566	-0.138145980610991	-0.0964278357865756	-0.00138224483676375	-0.244745504551347	-0.598317098181538	-0.465156678037034	-0.555808048979513	-0.412022313592492	-0.417301220156018
"EDTA"	0.0751488799639228	0.0902965990667625	-0.147090459576425	-0.0911955680280378	0.201035140374435	-0.257168199756226	0.479366472774497	0.211395774389106	1	0.502181584636601	0.5998782564667	0.517780780497434	0.174150807927036	0.159469538852256	0.298530848786806	0.1468688755098	0.324654959829511	0.345044706252614	0.122541717221242	0.248478319211719	0.212921892352929	0.39993168298838	0.400829597348384	0.223722137916788	0.0950729154969627	-0.0661301648445234	0.1527666475106	-0.372527980871984	-0.103285540673569	-0.169898985078134	-0.443908903346065	-0.376460607800272	-0.501544719154928	-0.363344914211235	-0.559511419500364	-0.327823153812988
"Ethidium_bromide"	0.578644962475385	0.539827119860289	0.288964477966799	0.423312189151088	0.358412293154279	-0.045465635201204	0.384813096859282	0.354330195251714	0.502181584636601	1	0.620227954228595	0.705841478834249	0.0633864564826368	0.0777722642981746	0.309136961760465	-0.120037140788095	-0.00808772657482223	0.515109204420689	0.25288459514034	0.263050957848243	0.660926558824397	0.497345346873149	0.317380539693093	0.0707469517685833	-0.409596022348802	-0.401414854938352	0.1686773701669	-0.425596345085706	0.045969086737948	-0.501400431806254	-0.562375398334871	-0.497830917687991	-0.735713995002001	-0.634890178577718	-0.773752712916836	-0.848284018033255
