BSU	Gene	A22	Acriflavine	Actinomycin_D	Aztreonam	Benzalkonium	Cefaclor	Cefoxitin	Cerulenin	Chlorhexidine	Ciprofloxacin	Copper(II)_stress	Cycloserine_D	Dibucaine	Dipyridyl	Doxycycline	EDTA	Ethidium_bromide	Fosfomycin	Fusidic_acid	Gliotoxin	Holomycin	Iron(II)_stress	Mupirocin	Nalidixic_acid	Novobiocin	PAC-holo	Phenazine_monosulfate	Propidium_iodide	Puromycin	Rifampicin	SDS	Sulfamonomethoxine	Thiolutin	Triclosan	Trimethoprim	Vancomycin
BSU00010	dnaA	-1.407982749	1.023839744	5.101031617	0.610596327	0.8268553225	0.17371365	-0.9510913755	0.078390975	-0.821170144	0.093820761	-2.132408448	-2.847111287	-0.202133747	-0.1501973355	2.202766614	-1.760807568	-1.024809516	-0.532298881	1.231893037	0.005140261	0.154422494	0.859502218	-1.032398869	-0.453062495	-0.602306157	0.714288196	0.387396686	-1.005819893	-2.322398019	-0.1108679245	1.353327541	-0.085206614	0.610552476	0.980265632	1.021786855	0.4028317285
BSU00020	dnaN	0.626242856	-0.721384875	5.894369372	-3.954725059	0.718663976	-3.382799647	-1.458499086	1.164553156	1.114911007	-3.659379825	-1.028717914	-1.359498959	0.349952545	-1.5789291125	0.581282921	0.15427007	-0.388813992	-1.2153072035	2.311030345	-0.874325888	-1.771889691	0.194208285	0.332412361	-3.94537254	0.076239334	1.337704503	0.544047773	0.501092347	0.003325852	0.0906661825	0.380844725	-0.266591622	-1.661392891	2.383468664	0.48699374	-0.00295722800000001
BSU00060	gyrB	0.486172815	-1.389452796	1.813881834	-1.460451222	0.594149155	5.889372149	0.685148406	0.1825161	-0.356768032	-0.034420031	1.253352326	0.489348927	0.522946184	-0.178587266	-1.687801457	-0.452606301	-1.807044445	1.2249985025	2.56473321	-2.667327395	-1.173628391	0.0011631025	-0.11166641	-0.70514253	-2.275943579	0.469955416	-2.071097885	0.063896417	-0.367295807	0.817368928	-0.098988294	1.027410744	-1.176445943	1.740929876	0.3574028655	1.624851163
BSU00070	gyrA	0.24059442	-2.167055609	2.697875066	-0.5592600345	-0.194740457	6.264410195	-0.1675617245	0.868460891	0.13459452	-1.580740453	1.138955284	0.862015246	0.306247556	4.1973208975	-0.913661441	0.331713831	-1.487670487	0.4776557255	0.994803988	0.270162983	-0.14617044	0.205446053	-0.927648528	-1.319319947	-2.057399689	-2.428797367	-0.379492328	0.119282302	0.23654987	0.985339808	0.894539231	1.280524084	-0.383520956	1.114043009	0.531777796	0.814489352
BSU00090	guaB	-0.1879543895	-0.157443148	-2.145583267	-1.4467571675	-1.0962553025	0.746831771	-0.3108873565	-0.251330616	-1.047186071	0.649103889	-0.4617786	-0.386622869	-1.293749173	-0.7330764865	0.127750239	-0.455588306	-0.926049675	-0.055958365	1.702196975	-0.560621403	-0.676562575	0.709556045	0.562083524	1.326290215	0.842611626	0.5237931985	-0.177996351	-0.314127669	-0.865802788	0.011990605	-0.091477125	0.042626572	-1.446613085	2.246706862	0.471600213	-0.691199233
BSU00130	serS	-0.0663753295	0.014435212	-0.394611924	-0.4947192205	0.1189672355	-0.263152894	-0.268858871	-0.910203555	-0.625462274	0.660258662	-0.22564788	0.420774041	-0.30657612	0.0423193985	-1.318229213	0.770462651	-0.42455312	-0.39260109	-0.027726188	0.36390176	1.064346841	-0.6431029415	0.106830211	0.537352027	-0.202582689	-0.0466088865	1.303804468	0.297651717	0.607107721	-0.1672762255	-0.189307749	0.244964737	0.134369617	-0.572268676	0.716629059	-0.320133909
BSU00190	dnaX	0.9157500125	-2.175561049	6.613244075	-3.5861464875	1.646321256	-5.092878901	-1.620033208	1.603342848	1.128906324	-2.056294692	-1.4360694	-0.691899931	0.157232351	-0.3147263685	-0.652398156	0.068756485	-3.626114765	-1.1011888885	3.334917959	0.605841898	1.08495595	0.5721214865	0.116699369	-2.762733871	1.699596309	2.8288334675	1.206300788	0.052351869	-0.4685668	0.474906354	0.451211851	-0.208277231	0.208134253	0.972659723	0.5835705375	0.735874618
BSU00310	holB	0.757490451	2.049214014	2.962355731	3.322693427	1.4650886735	-0.416837677	0.290767975	-0.856096962	0.83100662	0.775046548	0.024105809	0.651652219	1.35366064	0.39106202	1.430511999	0.872310004	0.520790321	-0.409808169	-0.357643194	0.527998922	0.255666129	-0.342589653	-0.775640819	0.416158563	-0.680697576	1.5624057565	-0.135157772	0.242903743	1.020746154	0.0137813545	-0.525825655	0.126787354	-0.503402114	-2.665629501	-1.692748934	0.955973534
BSU00380	metS	-0.234827433	-0.135951151	-0.346888675	0.407932717	-0.7320145935	1.578564806	-0.17566814	-0.230843898	0.281631621	0.605889704	1.991520503	-0.141440722	-0.256340985	-2.2072209735	-0.417025796	-0.221324825	-0.195712922	-0.164168018	-0.973054885	0.909504618	2.744822734	-1.130035925	0.864549275	0.9507491	-0.771455177	-0.078966154	0.497938796	0.726712074	0.173783961	0.105350833	-0.773925847	0.477086647	1.225522511	-1.413740277	0.7899282105	-0.9728668705
BSU00460	ipk	0.410760483	0.365273189	-1.052761798	1.1261865995	-1.109200102	0.544298795	0.970880263	1.021346468	-0.781175394	0.009702491	-1.143582054	1.157312647	-1.090105414	-1.4304510655	0.973437169	-0.163436561	0.472993038	3.450346789	1.7510892635	0.058096936	-1.507792489	-1.6810050705	-0.214563747	0.470540929	-1.283331532	0.6475165055	0.099291493	-0.855190998	-0.447422713	0.5890203175	-1.443760529	0.059446335	-1.301392489	-0.570543398	0.037889256	0.2176170605
