BSU	Gene
none	control
BSU_MISC_RNA_2	scr
BSU_MISC_RNA_35	rnpB
BSU_TRNA_23	trnH
BSU00010	dnaA
BSU00020	dnaN
BSU00060	gyrB
BSU00070	gyrA
BSU00090	guaB
BSU00130	serS
BSU00190	dnaX
BSU00310	holB
BSU00380	metS
BSU00460	ispE
BSU00500	gcaD
BSU00510	prs
BSU00530	pth
BSU00620	divIC
BSU00670	tilS
BSU00680	hprT
BSU00770	sul
BSU00780	folB
BSU00790	folK
BSU00820	lysS
BSU00900	ispD
BSU00910	ispF
BSU00920	gltX
BSU00940	cysS
BSU01000	secE
BSU01040	rplJ
BSU01050	rplL
BSU01070	rpoB
BSU01080	rpoC
BSU01100	rpsL
BSU01110	rpsG
BSU01120	fusA
BSU01130	tufA
BSU01150	rpsJ
BSU01160	rplC
BSU01170	rplD
BSU01190	rplB
BSU01200	rpsS
BSU01220	rpsC
BSU01230	rplP
BSU01250	rpsQ
BSU01260	rplNA
BSU01270	rplX
BSU01280	rplE
BSU01290	rpsNA
BSU01290	rpsNA
BSU01300	rpsH
BSU01310	rplF
BSU01320	rplR
BSU01320	rplR
BSU01330	rpsE
BSU01340	rpmD
BSU01360	secY
BSU01370	adk
BSU01380	mapA
BSU01390	infA
BSU01410	rpsM
BSU01420	rpsK
BSU01430	rpoA
BSU01440	rplQ
BSU01490	rplM
BSU01500	rpsI
BSU01770	glmM
BSU01780	glmS
BSU03100	ycgG
BSU03130	nadE
BSU03150	aroK
BSU04560	ddl
BSU04570	murF
BSU04620	acpS
BSU04620	acpS
BSU04640	alrA
BSU05100	yddT
BSU05920	tsaB
BSU05940	tsaD
BSU06020	groES
BSU06030	groEL
BSU06060	ydiO
BSU06070	ydiP
BSU06610	pcrA
BSU06620	ligA
BSU06670	gatC
BSU06680	gatA
BSU06690	gatB
BSU06720	dagK
BSU06811	yezG
BSU06811	yezG
BSU07840	yfkN
BSU08930	cspR
BSU09510	yhdL
BSU09540	plsC
BSU09950	prsA
BSU10120	hemE
BSU10130	hemH
BSU10140	hemY
BSU10660	hlpB
BSU11340	fabF
BSU11420	trpS
BSU11610	ppnKB
BSU12519	yjzJ
BSU12520	xkdB
BSU12530	xkdC
BSU13300	mgtE
BSU14000	patA
BSU14180	dapH
BSU14190	dapI
BSU14530	rnjA
BSU14580	pdhA
BSU14840	ylaN
BSU14840	ylaN
BSU14840	ylaN
BSU14840	ylaN
BSU14840	ylaN
BSU14850	ftsW
BSU15020	coaD
BSU15150	ftsL
BSU15160	pbpB
BSU15180	murE
BSU15190	mraY
BSU15200	murD
BSU15220	murG
BSU15230	murB
BSU15240	divIB
BSU15280	ftsA
BSU15290	ftsZ
BSU15290	ftsZ
BSU15430	ileS
BSU15680	gmk
BSU15700	coaBC
BSU15710	priA
BSU15730	fmt
BSU15830	yloU
BSU15890	plsX
BSU15900	fabD
BSU15910	fabG
BSU15920	acpA
BSU15930	rnc
BSU15940	smc
BSU15980	ffh
BSU15990	rpsP
BSU16030	trmD
BSU16040	rplS
BSU16050	rbgA
BSU16490	rpsB
BSU16500	tsf
BSU16510	pyrH
BSU16520	frr
BSU16530	uppS
BSU16540	cdsA
BSU16550	dxr
BSU16570	proS
BSU16580	polC
BSU16600	nusA
BSU16630	infB
BSU16670	ribC
BSU16680	rpsO
BSU16750	asd
BSU16760	dapG
BSU16770	dapA
BSU16920	pgsA
BSU16960	rny
BSU17370	nrdI
BSU17380	nrdE
BSU17390	nrdF
BSU17910	yneF
BSU18070	plsY
BSU18090	parE
BSU18100	parC
BSU19360	odhB
BSU21320	yomL
BSU21490	sunI
BSU21810	dfrA
BSU22350	dnaD
BSU22420	panC
BSU22440	birA
BSU22450	cca
BSU22490	dapB
BSU22600	aroE
BSU22710	aroF
BSU22740	hepT
BSU22750	menH
BSU22760	hepS
BSU22780	folEA
BSU22790	hbs
BSU22830	gpsA
BSU22840	engA
BSU22890	cmk
BSU23130	resC
BSU23140	resB
BSU23220	scpA
BSU23230	ypuF
BSU23840	rnz
BSU24270	dxs
BSU24310	folD
BSU24330	yqhY
BSU24340	accC
BSU24350	accB
BSU25070	ispG
BSU25160	ispH
BSU25200	sigA
BSU25210	dnaG
BSU25260	glyS
BSU25270	glyQ
BSU25290	era
BSU25560	holA
BSU25640	nadD
BSU25670	yqeH
BSU26350	sknR
BSU26350	sknR
BSU27410	alaS
BSU27500	trmU
BSU27550	aspS
BSU27560	hisS
BSU27880	nifS
BSU27940	rpmA
BSU27960	rplU
BSU28010	mreD
BSU28020	mreC
BSU28030	mreB
BSU28080	folC
BSU28090	valS
BSU28130	hemB
BSU12230	yjjA
BSU28150	hemC
BSU28170	hemA
BSU28190	ysxC
BSU28390	racE
BSU28500	trxA
BSU28630	pheT
BSU28640	pheS
BSU28650	ysgA
BSU28850	rplT
BSU28870	infC
BSU28980	dnaI
BSU28990	dnaB
BSU29050	ytbE
BSU29060	coaE
BSU29200	accA
BSU29210	accD
BSU29230	dnaE
BSU29660	rpsD
BSU29670	tyrS
BSU29790	murC
BSU30320	leuS
BSU30540	asnB
BSU30550	metK
BSU30770	mntA
BSU30780	menC
BSU30790	menE
BSU30800	menB
BSU30820	menD
BSU31600	mrpA
BSU31610	mrpB
BSU31620	mrpC
BSU31630	mrpD
BSU31640	mrpE
BSU31650	mrpF
BSU31660	mrpG
BSU32110	yumC
BSU32170	dapF
BSU32670	sufB
