BSU	Gene	S-Value
BSU00010	dnaA	0.005140261
BSU00020	dnaN	-0.874325888
BSU00060	gyrB	-2.667327395
BSU00070	gyrA	0.270162983
BSU00090	guaB	-0.560621403
BSU00130	serS	0.36390176
BSU00190	dnaX	0.605841898
BSU00310	holB	0.527998922
BSU00380	metS	0.909504618
BSU00460	ipk	0.058096936
BSU00500	glmU	2.058551263
BSU00510	prs	0.854914059
BSU00530	pth	-0.30801253
BSU00620	divIC	-1.720882853
BSU00670	tilS	0.132011382
BSU00680	hprT	0.734515772
BSU00770	sul	0.057594496
BSU00780	folB	1.171376792
BSU00790	folK	0.582827359
BSU00820	lysS	-0.49984741
BSU00900	ispD	-1.693488817
BSU00910	ispF	-0.854840642
BSU00920	gltX	0.987691434
BSU00940	cysS	-0.993578234
BSU01000	secE	0.514008374
BSU01040	rplJ	-1.11005705
BSU01050	rplL	0.067830113
BSU01070	rpoB	-0.95746428
BSU01080	rpoC	-2.394486564
BSU01100	rpsL	0.299514838
BSU01110	rpsG	1.088991236
BSU01120	fusA	1.697826234
BSU01130	tufA	0.388974802
BSU01150	rpsJ	0.919521859
BSU01160	rplC	-0.240834173
BSU01170	rplD	0.313071312
BSU01190	rplB	-0.11875391
BSU01200	rpsS	-0.211107606
BSU01220	rpsC	0.187305686
BSU01230	rplP	-0.344483054
BSU01250	rpsQ	0.172669719
BSU01260	rplN	-0.788295611
BSU01270	rplX	0.243150062
BSU01280	rplE	1.676521634
BSU01290	rpsN	0.814605817
BSU01290	rpsNA	1.244485337
BSU01290	rpsNA	1.244485337
BSU01300	rpsH	0.992959412
BSU01310	rplF	1.439217946
BSU01320	rplR	1.019569009
BSU01320	rplR	1.019569009
BSU01320	rplR103	0.042588374
BSU01330	rpsE	2.204779096
BSU01340	rpmD	-0.25516429
BSU01360	secY	-0.130924994
BSU01370	adk	0.049733841
BSU01380	mapA	0.126698446
BSU01390	infA	0.156848956
BSU01410	rpsM	-0.811380906
BSU01420	rpsK	1.676523043
BSU01430	rpoA	-1.582730814
BSU01440	rplQ	0.400256489
BSU01490	rplM	1.761258588
BSU01500	rpsI	1.050295147
BSU01770	glmM	-0.088717368
BSU01780	glmS	-3.95188318
BSU03100	ycgG	1.092891263
BSU03130	nadE	0.425853494
BSU03150	aroK	-0.40960194
BSU04560	ddl	0.947715159
BSU04570	murF	0.179815439
BSU04620	acpS	-0.709653462
BSU04620	acpS	-0.709653462
BSU04620	acpS48	1.341825631
BSU04640	alrA	-0.528553461
BSU05100	yddT	0.786440797
BSU05920	ydiC	1.241802528
BSU05940	gcp	0.425194136
BSU06020	groES	0.26493724
BSU06030	groEL	0.931998943
