BSU	Gene	S-Value
BSU00010	dnaA	0.154422494
BSU00020	dnaN	-1.771889691
BSU00060	gyrB	-1.173628391
BSU00070	gyrA	-0.14617044
BSU00090	guaB	-0.676562575
BSU00130	serS	1.064346841
BSU00190	dnaX	1.08495595
BSU00310	holB	0.255666129
BSU00380	metS	2.744822734
BSU00460	ipk	-1.507792489
BSU00500	glmU	2.214064144
BSU00510	prs	3.483075909
BSU00530	pth	-1.369234975
BSU00620	divIC	-2.054326523
BSU00670	tilS	-0.25820863
BSU00680	hprT	1.072028055
BSU00770	sul	0.988802673
BSU00780	folB	-0.54959795
BSU00790	folK	-0.708352434
BSU00820	lysS	1.63488603
BSU00900	ispD	-2.429913128
BSU00910	ispF	-1.578174434
BSU00920	gltX	0.860515317
BSU00940	cysS	-0.244038503
BSU01000	secE	-1.18385835
BSU01040	rplJ	-1.421063582
BSU01050	rplL	-0.416844575
BSU01070	rpoB	-1.706641047
BSU01080	rpoC	-1.706713283
BSU01100	rpsL	1.858790998
BSU01110	rpsG	2.22302305
BSU01120	fusA	2.505332045
BSU01130	tufA	1.775107436
BSU01150	rpsJ	0.041519782
BSU01160	rplC	2.371023977
BSU01170	rplD	-0.367534066
BSU01190	rplB	-0.383064101
BSU01200	rpsS	0.481050904
BSU01220	rpsC	1.614958428
BSU01230	rplP	0.823681125
BSU01250	rpsQ	0.135403945
BSU01260	rplN	1.945092541
BSU01270	rplX	1.153119351
BSU01280	rplE	2.047444764
BSU01290	rpsN	-1.249587117
BSU01290	rpsNA	2.258133927
BSU01290	rpsNA	2.258133927
BSU01300	rpsH	2.994986189
BSU01310	rplF	1.896471169
BSU01320	rplR	0.511385089
BSU01320	rplR	0.511385089
BSU01320	rplR103	1.534063858
BSU01330	rpsE	3.975212586
BSU01340	rpmD	-0.320799841
BSU01360	secY	1.647515999
BSU01370	adk	-1.314529507
BSU01380	mapA	3.284753159
BSU01390	infA	-0.161703486
BSU01410	rpsM	-0.232711814
BSU01420	rpsK	4.820236862
BSU01430	rpoA	2.928573019
BSU01440	rplQ	1.303544573
BSU01490	rplM	1.819523205
BSU01500	rpsI	3.14456272
BSU01770	glmM	1.466603234
BSU01780	glmS	-2.567527567
BSU03100	ycgG	-0.911451388
BSU03130	nadE	-1.074092716
BSU03150	aroK	-1.159095714
BSU04560	ddl	0.852721647
BSU04570	murF	1.193167505
BSU04620	acpS	-1.470893013
BSU04620	acpS	-1.470893013
BSU04620	acpS48	-1.795837513
BSU04640	alrA	-1.186044626
BSU05100	yddT	-1.293046823
BSU05920	ydiC	2.823986467
BSU05940	gcp	1.188917478
BSU06020	groES	0.187441329
BSU06030	groEL	0.104581974
BSU06060	ydiO	2.576738451
BSU06070	ydiP	0.444922103
BSU06610	pcrA	0.259816979
BSU06620	ligA	0.308706365
BSU06670	gatC	1.094140685
BSU06680	gatA	1.387479858
BSU06690	gatB	2.296714302
BSU06720	yerQ	-2.33496352
BSU06811	yezG	-0.676823031
BSU06811	yezG	-0.676823031
BSU06811	yezG129	-1.205978873
BSU07840	yfkN	-1.399328548
BSU08930	cspR	-0.284922273
BSU09510	yhdL	-2.103257591
BSU09540	plsC	-2.394247016
BSU09950	prsA44	-0.361870301
BSU10120	hemE	2.498732396
BSU10130	hemH	2.429711409
BSU10140	hemY	2.3325824
BSU10660	yisB	-0.416862195
BSU11340	fabF	0.057222127
BSU11420	trpS	-0.990081913
BSU11610	ppnK	-0.908071344
BSU12519	yjzJ	-0.915785595
BSU12520	xkdB	-0.722850136
BSU12530	xkdC	-0.773132411
BSU13300	mgtE	1.369865577
BSU14000	patA	1.504641914
BSU14180	dapH	-0.163255999
BSU14190	dapL	0.220022812
BSU14530	rnjA	0.639732091
BSU14580	pdhA	-0.756156842
BSU14840	ylaN	-2.852456833
BSU14840	ylaN	-2.852456833
BSU14840	ylaN	-2.852456833
BSU14840	ylaN	-2.852456833
BSU14840	ylaN	-2.852456833
BSU14840	ylaN187	-4.211841446
BSU14840	ylaN190	-3.391977479
BSU14840	ylaN25	-1.505871901
BSU14840	ylaN85	-2.630414248
BSU14850	ftsW	1.062347492
BSU15020	coaD	-0.12488889
BSU15180	murE	-0.366671658
BSU15190	mraY	0.028151084
BSU15200	murD	1.306867411
BSU15220	murG	-0.880755759
BSU15230	murB	-1.471995358
BSU15240	divIB	-1.035915434
BSU15290	ftsZ	-1.216917887
BSU15290	ftsZ	-1.216917887
BSU15290	ftsZ1132	-0.495122235
BSU15430	ileS	3.068003289
BSU15680	gmk	0.061260781
BSU15700	coaBC	2.638320057
BSU15710	priA	2.605984893
BSU15730	fmt	0.887813326
BSU15830	yloU	-1.65831493
BSU15890	plsX	2.04006421
BSU15900	fabD	3.004673393
BSU15910	fabG	0.184313908
BSU15920	acpP	1.330903581
BSU15930	rnc	-2.030430954
BSU15940	smc	-0.377619179
BSU15980	ffh	-1.045867835
BSU15990	rpsP	1.970765388
BSU16030	trmD	0.798676295
BSU16040	rplS	1.674250444
BSU16050	rbgA	1.118325829
BSU16490	rpsB	0.660700928
BSU16500	tsf	0.393561995
BSU16510	pyrH	-2.583399014
BSU16520	frr	-1.013730264
BSU16530	uppS	0.417448607
BSU16540	cdsA	-0.128171886
BSU16550	dxr	2.098242997
BSU16570	proS	-0.577788017
BSU16580	polC	0.887585481
BSU16600	nusA	1.504075506
BSU16630	infB	0.203948205
BSU16670	ribC	0.225692483
BSU16680	rpsO	1.360027738
BSU16750	asd	0.189604206
BSU16760	dapG	0.665588205
BSU16770	dapA	0.208610781
BSU16920	pgsA	-0.588534998
BSU16960	ymdA	0.147004373
BSU17370	nrdI	1.337125516
BSU17380	nrdE	-1.3975659
BSU17390	nrdF	-0.462052697
BSU17910	yneF	1.391784303
BSU18070	yneS	-0.061630286
BSU18090	parE	1.076686452
BSU18100	parC	2.658076946
BSU19360	odhB	-0.21771004
BSU21320	yomL	-0.423666257
BSU21490	sunI	1.050758095
BSU21810	dfrA	1.42264353
BSU22350	dnaD	-0.493128608
BSU22420	panC	3.42765786
BSU22440	birA	-0.418653054
BSU22450	cca	-0.534360465
BSU22490	dapB	0.060671688
BSU22600	aroE	-0.318415043
BSU22710	aroF	-0.54842637
BSU22740	hepT	0.107683351
BSU22750	ubiE	-3.179428333
BSU22760	hepS	-1.046232463
BSU22780	folE	0.865473086
BSU22790	hbs	0.110670768
BSU22830	gpsA	-0.431773589
BSU22840	engA	0.756358247
BSU22890	cmk	0.601410137
BSU23130	resC	-4.495428893
BSU23140	resB	-3.589484457
BSU23220	scpA	-0.288101091
BSU23230	ypuF	-1.061138319
BSU23840	yqjK	-0.834384002
BSU24270	dxs	-0.740125264
BSU24310	folD	0.02134218
BSU24330	yqhY	1.857044273
BSU24340	accC	0.048422665
BSU24350	accB	2.198542523
BSU25070	ispG	-1.668909536
BSU25160	ispH	-1.343412714
BSU25200	sigA	-0.419993757
BSU25210	dnaG	-0.395266105
BSU25260	glyS	1.72273904
BSU25270	glyQ	1.375684446
BSU25290	era	2.413969965
BSU25560	holA	0.823448624
BSU25640	nadD	-0.960333551
BSU25670	yqeH	1.791659155
BSU26350	sknR99	-0.037706838
BSU26350	yqaE	0.186757367
BSU27410	alaS	2.095470429
BSU27500	mnmA	1.573229891
BSU27550	aspS	1.731969764
BSU27560	hisS	1.815192755
BSU27880	nifS	-1.365477562
BSU27940	rpmA	2.845290547
BSU27960	rplU	0.626651747
BSU28010	mreD	0.607164629
BSU28020	mreC	1.681857539
BSU28030	mreB	0.925630124
BSU28080	folC	-0.156602402
BSU28090	valS	2.433873805
BSU28130	hemB	0.339464392
BSU28140	hemD	-0.790856308
BSU28150	hemC	1.21944127
BSU28170	hemA	0.282561306
BSU28190	engB	1.18974473
BSU28390	racE	1.16649698
BSU28500	trxA	1.352994933
BSU28630	pheT	2.002827432
BSU28640	pheS	1.000358049
BSU28650	ysgA	-1.713464255
BSU28850	rplT	0.622510413
BSU28870	infC	1.670989163
BSU28980	dnaI	-0.943701369
BSU28990	dnaB	0.226802973
BSU29050	ytbE	-2.373860954
BSU29060	coaE	-0.159482306
BSU29200	accA	1.971381001
BSU29210	accD	1.30122396
BSU29230	dnaE	-0.069342005
BSU29660	rpsD	1.864730772
BSU29670	tyrS	0.246835901
BSU29790	murC	-0.37068777
BSU30320	leuS	1.691711745
BSU30540	asnB	-1.524715961
BSU30550	metK	-1.100869064
BSU30770	mntA	-0.619921353
BSU30780	menC	0.650439323
BSU30790	menE	1.423434429
BSU30800	menB	1.959311892
BSU30820	menD	1.056764462
BSU31600	mrpA	-0.282115076
BSU31610	mrpB	-0.126609235
BSU31620	mrpC	-0.234485464
BSU31630	mrpD	-0.529161941
BSU31640	mrpE	0.532760901
BSU31650	mrpF	0.029462014
BSU31660	mrpG	-1.161640476
BSU32110	yumC	-0.948447023
BSU32170	dapF	-0.619772561
BSU32670	sufB	-1.061274637
BSU32680	iscU	-1.691537355
BSU32690	sufS	-1.1162301
BSU32700	sufD	-1.64985926
BSU32710	sufC	-1.468128469
BSU33660	rghRA	-1.704617181
BSU33900	eno	-1.900529748
BSU33910	pgm	-0.631047932
BSU33940	gapA	-1.645332761
BSU34790	trxB	-1.438232677
BSU35290	prfB	0.425909349
BSU35300	secA	-1.448454719
BSU35530	tagO	-3.174438366
BSU35600	tuaB	-0.613236179
BSU35660	mnaA	-1.011779991
BSU35700	tagH	0.996723032
BSU35710	tagG	1.612035165
BSU35720	tagF	0.251263835
BSU35740	tagD	-0.863736513
BSU35750	tagA	-3.38548215
BSU35760	tagB	-0.974859097
BSU36410	mbl	0.828420467
BSU36760	murAA	0.045235163
BSU36900	glyA	-1.083931887
BSU37010	prfA	0.418075384
BSU37150	pyrG	2.470107529
BSU38120	rodA	0.144083286
BSU38490	menA	-7.030344462
BSU38690	yxlC	-0.663153743
BSU40400	walK	-1.860102718
BSU40410	walR	-2.344841791
BSU40440	dnaC	-0.275562207
BSU40550	ppaC	-1.364853664
BSU40890	rpsR	1.43201269
BSU40900	ssbA	1.177369767
BSU41050	rnpA	0.323253353
BSU_MISC_RNA_2	scr	-1.287611891
BSU_MISC_RNA_35	rnpB	-0.668390962
BSUtRNA23	trnI-Asn	-0.357360915
none	control	-0.903749625
