Condition	Aztreonam	Cefoxitin	Ciprofloxacin	Nalidixic_acid	Fusidic_acid	Vancomycin	Cycloserine_D	Fosfomycin	EDTA	Ethidium_bromide	Benzalkonium	Doxycycline	A22	Chlorhexidine	Puromycin	Actinomycin_D	Phenazine_monosulfate	Gliotoxin	Holomycin	Thiolutin	Acriflavine	Copper(II)_stress	Dibucaine	Cefaclor	Dipyridyl	Cerulenin	Triclosan	Mupirocin	PAC-holo	Sulfamonomethoxine	Trimethoprim	Rifampicin	Iron(II)_stress	Propidium_iodide	Novobiocin	SDS
Aztreonam	1	0.619117185540455	0.413060521474009	0.428040822086998	-0.00649324100451904	0.36870837128323	0.0748146713990304	0.242453354591018	-0.0332717674085572	0.282855099759989	-0.0606949897545985	0.0196542569014371	0.0190838813698108	-0.207691755541366	0.0881081409474172	-0.270510477300767	-0.210392831143409	0.133507722219107	0.231295453649994	0.161358057994133	0.250428740541438	0.198480152864278	0.143468771334522	0.240191478766221	-0.122713493785695	-0.190030704059533	-0.205751793128497	-0.228772232937954	-0.177918550055686	-0.110671527821688	-0.247307495111931	-0.173759539873228	-0.172293713341794	-0.250730908167334	-0.156616951057588	-0.340274905067714
Cefoxitin	0.619117185540455	1	0.368743623394611	0.236472123888428	0.043151116635255	0.263378254841954	0.116940294225036	0.266696559841654	0.00764241627175341	0.249264358160923	0.0495719559402716	0.13359561144818	0.151211674005008	-0.247452776237869	0.04545192624693	-0.213442185949235	-0.208964421885433	-0.0910203425885666	-0.0452265928551202	-0.12197864939512	0.0703621263406419	-0.0419908140350966	-0.109673745537123	0.102090700140737	-0.168092404800047	-0.172030149588144	-0.166236611564333	-0.164441495495176	0.0082642492184658	-0.103260349891398	-0.165811941675285	-0.136054522210724	-0.274105436214812	-0.239409949933285	-0.138951310626595	-0.298821124709042
Ciprofloxacin	0.413060521474009	0.368743623394611	1	0.615520389212705	-0.0269800243206329	-0.0720282007427851	-0.170842632650552	-0.0607835867948422	-0.0488779793135573	0.143901362626144	-0.224387137531085	-0.0682057498411517	-0.18578434941356	-0.235304145294596	0.00315900185261118	-0.468655075571429	-0.241574403005383	0.022280255312595	0.0970661790844962	0.00648199911376854	-0.000533967044396842	-0.0133985999319373	-0.243427839166391	0.108439100625363	-0.226856045299877	-0.254481063305744	-0.075367066139969	-0.0161608644689852	0.064937561100964	0.00673479447770198	0.116151183791378	-0.047813582950465	-0.176133155678494	-0.139425064657815	0.0142909448343122	-0.0851820597144622
Nalidixic_acid	0.428040822086998	0.236472123888428	0.615520389212705	1	0.186591202019729	0.123431840159824	-0.142430795400291	-0.0243570746731746	-0.0522490882781674	0.225298246787355	-0.116543618416613	-0.0892150247753565	-0.0693704658462549	-0.157535264328915	0.0857116758373204	-0.321910837824179	-0.219857357026859	0.159219815076979	0.289187489360312	0.179078770337461	0.123093111902689	-0.0826410117589904	-0.0998675930717429	-0.119718555179301	-0.207279281625527	-0.165331512737958	0.0624160442350043	-0.17079968763894	-0.131853376318585	-0.0707762147336736	0.0149512677662319	0.185178118499657	-0.21371633928762	-0.241670834993248	-0.0146768089201816	-0.280106865037331
Fusidic_acid	-0.00649324100451904	0.043151116635255	-0.0269800243206329	0.186591202019729	1	0.208191359766047	-0.0232044895237032	-0.0258148526177578	0.104599209214832	0.178173233395302	0.171175782126241	0.0677017386432628	0.233064728722337	0.0791528980940801	0.0934747202898197	0.167517426137853	0.0907546061741946	0.0775598415343111	0.160357828496801	0.109344824497807	0.0665633479480022	-0.189181762412359	0.0299860500567816	-0.242667553983205	-0.100627075846903	0.0364375347660246	0.0478692562931522	-0.0776503906187605	-0.000978612732740695	-0.209651947678662	-0.185870377451173	0.0982664982493434	-0.138935007253242	-0.181308956171393	-0.058629622755494	-0.141748105792067
Vancomycin	0.36870837128323	0.263378254841954	-0.0720282007427851	0.123431840159824	0.208191359766047	1	0.0641533853163895	0.154158326335337	-0.17728428823595	-0.094691726824804	0.0325928795623219	-0.170007929385041	0.245321929677795	-0.0718329977752909	0.0957863254967868	0.14317480953068	-0.111775225901639	-0.0185436471245615	-0.00453845802613032	0.0309379805109073	-0.00939894013596469	-0.11163654131258	0.0803261887360427	-0.0435693243433429	0.00197955672569741	0.0874538101086171	-0.234618037348598	-0.067215365740436	-0.115609751857888	-0.0593664423853256	-0.160593126221218	0.308755437657385	0.0749521634948084	-0.130224235631229	0.0132912537977585	-0.126206242587882
Cycloserine_D	0.0748146713990304	0.116940294225036	-0.170842632650552	-0.142430795400291	-0.0232044895237032	0.0641533853163895	1	0.413336355342631	0.248346247677862	0.160046716500643	0.270383565619062	0.170778121360196	0.0708229601658363	-0.0436005442939712	0.134397305131341	-0.0656732088554051	-0.0184425712444217	-0.0229116722259168	-0.202460106870998	-0.196591395269824	-0.148758394181574	0.019441181620511	0.0513498498693728	0.0998906570322231	-0.00395736998087438	0.0455647173260227	0.110996989824876	0.0123037700892866	0.0928543125865002	0.0289039946036655	-0.192186075533779	-0.150376841541358	-0.230690331542379	-0.137765674342701	-0.232569391881151	-0.236352713982824
Fosfomycin	0.242453354591018	0.266696559841654	-0.0607835867948422	-0.0243570746731746	-0.0258148526177578	0.154158326335337	0.413336355342631	1	0.0648492291377169	0.124268170698294	0.0870234377977267	0.111308920155432	-0.181050346388618	-0.307266105334316	-0.101949303542696	-0.000672667553343561	-0.186015623485563	-0.0406536220861844	-0.24065481519507	-0.195284835787004	-0.0595300851108608	0.0360476852502871	-0.0774227137824161	0.150575243683519	0.0050091448973217	0.16522207682935	0.105446445463319	-0.0442348895028523	-0.0541385741721218	0.0133442834337205	-0.125060956562481	-0.342123690086665	-0.184854056750739	-0.287932984354443	-0.188629695541601	-0.228725949295285
EDTA	-0.0332717674085572	0.00764241627175341	-0.0488779793135573	-0.0522490882781674	0.104599209214832	-0.17728428823595	0.248346247677862	0.0648492291377169	1	0.226722193575534	0.296798735864915	0.207676492893706	0.140167063974276	0.0180739865955646	0.227029249647578	0.00919432563802189	0.137231671639975	0.181685677053233	0.0288891126741144	0.136878320779045	0.0491867940776991	0.128317355100813	0.174807955749673	0.141674836327222	0.119244210515555	0.0277628469192409	-0.0170057620472216	-0.149383898800713	-0.0407373499023775	-0.0129807717317863	-0.193501848538037	-0.150601362785524	-0.272923558214648	-0.123553122712166	-0.213209085174833	-0.0140928103241436
Ethidium_bromide	0.282855099759989	0.249264358160923	0.143901362626144	0.225298246787355	0.178173233395302	-0.094691726824804	0.160046716500643	0.124268170698294	0.226722193575534	1	0.332333191886211	0.387061868116911	0.0240845587078512	-0.00231137873135044	0.143479691098524	-0.124162295120271	-0.01217290960043	0.277786227252203	0.125054673396868	0.103863872176584	0.434048312323512	0.227797886912665	0.109154196578085	0.0541604413987913	-0.275435931963337	-0.151015823542302	0.090211923431511	-0.180927704184498	0.0557938703463425	-0.222130052587282	-0.292000758946697	-0.236460704399128	-0.38150379734316	-0.339309904972208	-0.433167640866382	-0.462246832118051
Benzalkonium	-0.0606949897545985	0.0495719559402716	-0.224387137531085	-0.116543618416613	0.171175782126241	0.0325928795623219	0.270383565619062	0.0870234377977267	0.296798735864915	0.332333191886211	1	0.486099003334182	0.184881455507738	0.304023304177064	0.128358192693472	0.30842011747782	0.22450600554889	0.202159169694697	-0.00446687845455623	0.172591733651997	0.0526765446033972	0.12499570599413	0.246120487605784	-0.114188273394925	-0.0268657238816172	-0.0610797685799512	0.194537303753783	-0.159777430768578	0.143711220843665	-0.0598518978942608	-0.252489368513043	-0.120244043458153	-0.281207411568338	-0.311885226968103	-0.438863716269063	-0.336581479279382
Doxycycline	0.0196542569014371	0.13359561144818	-0.0682057498411517	-0.0892150247753565	0.0677017386432628	-0.170007929385041	0.170778121360196	0.111308920155432	0.207676492893706	0.387061868116911	0.486099003334182	1	0.0899762389580492	0.211701836940887	0.100482123418175	0.105352964109543	0.160228363425016	0.103616042792225	-0.154674296984862	-0.0673581054275655	0.118574128710291	0.102212341999875	0.0907257170534092	-0.157547397709219	-0.177121604009063	-0.0622285382162442	0.135412126203038	-0.0985503225318346	0.225814498198996	-0.103741650856481	-0.177449109536961	-0.267791909564101	-0.247907273394079	-0.286666981255247	-0.42921474610804	-0.313835295422028
A22	0.0190838813698108	0.151211674005008	-0.18578434941356	-0.0693704658462549	0.233064728722337	0.245321929677795	0.0708229601658363	-0.181050346388618	0.140167063974276	0.0240845587078512	0.184881455507738	0.0899762389580492	1	0.170810610199973	0.266126995373489	0.0258706725225572	0.195127902064437	0.0788839117044381	-0.00401207793052491	0.038447642560393	-0.167196178698882	-0.138768020517677	0.180966524372099	-0.210924878334645	-0.210472458878491	-0.0791553337879718	-0.21405378290424	-0.021909289988444	0.125603638515057	-0.0709750132865799	-0.0961752998267345	0.286993168137148	0.116790072948731	0.0128451840990101	-0.162616173591693	-0.0511756641327485
Chlorhexidine	-0.207691755541366	-0.247452776237869	-0.235304145294596	-0.157535264328915	0.0791528980940801	-0.0718329977752909	-0.0436005442939712	-0.307266105334316	0.0180739865955646	-0.00231137873135044	0.304023304177064	0.211701836940887	0.170810610199973	1	0.352417697638855	0.256026521958304	0.20638496910145	0.227958355540849	0.0966848321694984	0.12780152986487	0.210922226209805	0.156582263375167	0.344871350719146	-0.198129676588044	-0.0302287392125339	-0.179805296901054	-0.0730303441973163	-0.035366275227504	0.24713781290904	-0.0619567358495142	-0.126249533439894	0.0928433636994034	0.0798783561487327	0.194757644034282	-0.120922371653383	-0.0698762359672311
Puromycin	0.0881081409474172	0.04545192624693	0.00315900185261118	0.0857116758373204	0.0934747202898197	0.0957863254967868	0.134397305131341	-0.101949303542696	0.227029249647578	0.143479691098524	0.128358192693472	0.100482123418175	0.266126995373489	0.352417697638855	1	-0.0998775622735	0.0183542514103605	0.157566161149199	-0.00177524532882772	0.0368157179980049	0.108805207410931	0.11438754242793	0.313547218884302	-0.081170959202131	-0.228719722180617	-0.201091037860029	-0.290687011870272	-0.151835901794319	0.229261069471331	-0.0867631212314088	-0.168574232453402	0.120323665880094	0.162159051519251	0.228253762324088	-0.128054044195547	-0.226073738197132
Actinomycin_D	-0.270510477300767	-0.213442185949235	-0.468655075571429	-0.321910837824179	0.167517426137853	0.14317480953068	-0.0656732088554051	-0.000672667553343561	0.00919432563802189	-0.124162295120271	0.30842011747782	0.105352964109543	0.0258706725225572	0.256026521958304	-0.0998775622735	1	0.291961756068749	0.0715874809363086	0.149410127295907	0.183745502676153	0.0251880352197686	0.0799019573051481	0.186524174241506	-0.170209347565893	0.32762491598046	0.117437999077668	0.0207097371058787	-0.122925835650067	-0.16191536517696	-0.0715101511781073	-0.0869348726763538	0.0896801171801864	-0.0793470758271677	-0.0888804362597525	-0.0737058424121713	-0.0527793641236915
Phenazine_monosulfate	-0.210392831143409	-0.208964421885433	-0.241574403005383	-0.219857357026859	0.0907546061741946	-0.111775225901639	-0.0184425712444217	-0.186015623485563	0.137231671639975	-0.01217290960043	0.22450600554889	0.160228363425016	0.195127902064437	0.20638496910145	0.0183542514103605	0.291961756068749	1	0.194550593022641	0.311226106835777	0.279062257196845	-0.0626933810091322	0.118454925734231	0.161452701558376	0.0698001031006449	0.231901996883352	-0.145839282345123	-0.0339271002501704	-0.144302233685427	-0.193070175824557	-0.0309858313349031	-0.100266308537995	0.0730114457858209	0.012232366227727	-0.0240949753433967	-0.121269368467322	0.0842547468194066
