BSU	Gene	S-Value
BSU00010	dnaA	-1.032398869
BSU00020	dnaN	0.332412361
BSU00060	gyrB	-0.11166641
BSU00070	gyrA	-0.927648528
BSU00090	guaB	0.562083524
BSU00130	serS	0.106830211
BSU00190	dnaX	0.116699369
BSU00310	holB	-0.775640819
BSU00380	metS	0.864549275
BSU00460	ipk	-0.214563747
BSU00500	glmU	0.036727852
BSU00510	prs	-0.289292591
BSU00530	pth	0.987734536
BSU00620	divIC	0.35111643
BSU00670	tilS	-0.456809169
BSU00680	hprT	1.276400482
BSU00770	sul	0.775594305
BSU00780	folB	0.176887783
BSU00790	folK	-0.03696651
BSU00820	lysS	0.533510679
BSU00900	ispD	-0.487184832
BSU00910	ispF	-0.369254853
BSU00920	gltX	1.315587164
BSU00940	cysS	-0.17152017
BSU01000	secE	-1.225320733
BSU01040	rplJ	0.759134696
BSU01050	rplL	0.110102572
BSU01070	rpoB	0.553377581
BSU01080	rpoC	0.640250272
BSU01100	rpsL	-0.967578506
BSU01110	rpsG	-1.354095152
BSU01120	fusA	-1.348774707
BSU01130	tufA	0.60941782
BSU01150	rpsJ	0.278940123
BSU01160	rplC	-0.793596118
BSU01170	rplD	0.626826814
BSU01190	rplB	0.178122365
BSU01200	rpsS	-1.329546805
BSU01220	rpsC	-0.776166767
BSU01230	rplP	0.397062089
BSU01250	rpsQ	0.348972125
BSU01260	rplN	-1.541981331
BSU01270	rplX	-0.069906704
BSU01280	rplE	-0.098522872
BSU01290	rpsN	0.164356955
BSU01290	rpsNA	-0.200883081
BSU01290	rpsNA	-0.200883081
BSU01300	rpsH	-0.640018449
BSU01310	rplF	0.099396958
BSU01320	rplR	0.175854219
BSU01320	rplR	0.175854219
BSU01320	rplR103	0.603759315
BSU01330	rpsE	0.391685336
BSU01340	rpmD	0.323790237
BSU01360	secY	-0.549268486
BSU01370	adk	0.273383859
BSU01380	mapA	-0.316619165
BSU01390	infA	0.404616952
BSU01410	rpsM	-0.099674988
BSU01420	rpsK	-1.340847318
BSU01430	rpoA	-1.274098925
BSU01440	rplQ	-0.79146284
BSU01490	rplM	-0.733907122
BSU01500	rpsI	-0.330824443
BSU01770	glmM	-0.444065148
BSU01780	glmS	0.139433882
BSU03100	ycgG	0.043584245
BSU03130	nadE	0.316550908
BSU03150	aroK	0.509427308
BSU04560	ddl	-0.128868268
BSU04570	murF	-0.154876297
BSU04620	acpS	0.122998194
BSU04620	acpS	0.122998194
BSU04620	acpS48	0.261998073
BSU04640	alrA	0.466135288
BSU05100	yddT	0.295381883
BSU05920	ydiC	-1.590749108
BSU05940	gcp	-0.836139612
BSU06020	groES	0.019287966
BSU06030	groEL	0.401656328
BSU06060	ydiO	0.300452911
BSU06070	ydiP	0.165534986
BSU06610	pcrA	0.358870071
BSU06620	ligA	0.141841692
BSU06670	gatC	-0.266483199
BSU06680	gatA	-0.582516592
BSU06690	gatB	-0.086135031
BSU06720	yerQ	-0.050272381
BSU06811	yezG	0.078739586
BSU06811	yezG	0.078739586
BSU06811	yezG129	-0.078146616
BSU07840	yfkN	0.613044351
BSU08930	cspR	0.421553896
BSU09510	yhdL	0.13585198
BSU09540	plsC	-1.060870911
BSU09950	prsA44	-0.111508119
BSU10120	hemE	-0.665195109
BSU10130	hemH	-0.646514736
BSU10140	hemY	-0.920461095
BSU10660	yisB	0.664013945
BSU11340	fabF	-0.11766346
BSU11420	trpS	0.438081414
BSU11610	ppnK	0.325918677
BSU12519	yjzJ	0.004787386
BSU12520	xkdB	0.182245684
BSU12530	xkdC	0.473436303
BSU13300	mgtE	-0.800347923
BSU14000	patA	1.163249125
BSU14180	dapH	0.461835177
BSU14190	dapL	-0.093256785
BSU14530	rnjA	-1.004845038
BSU14580	pdhA	0.10396373
BSU14840	ylaN	-0.242504058
BSU14840	ylaN	-0.242504058
BSU14840	ylaN	-0.242504058
BSU14840	ylaN	-0.242504058
BSU14840	ylaN	-0.242504058
BSU14840	ylaN187	0.313946443
BSU14840	ylaN190	-0.095706897
BSU14840	ylaN25	0.133767189
BSU14840	ylaN85	-0.316581833
BSU14850	ftsW	-0.457803914
BSU15020	coaD	0.084243245
BSU15180	murE	-0.267671255
BSU15190	mraY	-0.205497665
BSU15200	murD	0.291029057
BSU15220	murG	-0.184380919
BSU15230	murB	0.386399885
BSU15240	divIB	0.174019496
BSU15290	ftsZ	0.813989491
BSU15290	ftsZ	0.813989491
BSU15290	ftsZ1132	0.446222422
BSU15430	ileS	-3.902644957
BSU15680	gmk	0.27598073
BSU15700	coaBC	0.380294272
BSU15710	priA	0.779427672
BSU15730	fmt	-0.310116811
BSU15830	yloU	0.697120418
BSU15890	plsX	0.490413852
BSU15900	fabD	-0.527485534
BSU15910	fabG	0.20356724
BSU15920	acpP	-0.536240179
BSU15930	rnc	0.214520266
BSU15940	smc	-0.307506719
BSU15980	ffh	0.235351619
BSU15990	rpsP	-2.214946391
BSU16030	trmD	0.104329994
BSU16040	rplS	-0.427995791
BSU16050	rbgA	0.011702141
BSU16490	rpsB	-0.666221444
BSU16500	tsf	-0.086320962
BSU16510	pyrH	0.081278222
BSU16520	frr	0.048571365
BSU16530	uppS	0.166851151
BSU16540	cdsA	0.403386529
BSU16550	dxr	-0.509603048
BSU16570	proS	0.905580234
BSU16580	polC	0.183677639
BSU16600	nusA	-1.200533436
BSU16630	infB	0.044540071
BSU16670	ribC	-0.27057304
BSU16680	rpsO	-0.568309308
BSU16750	asd	0.564186647
BSU16760	dapG	0.173663059
BSU16770	dapA	0.902668724
BSU16920	pgsA	-0.738557581
BSU16960	ymdA	0.000737102
BSU17370	nrdI	0.094502653
BSU17380	nrdE	0.262722357
BSU17390	nrdF	0.264456434
BSU17910	yneF	-0.943078011
BSU18070	yneS	-0.888047801
BSU18090	parE	0.556267484
BSU18100	parC	0.262840362
BSU19360	odhB	-0.312327925
BSU21320	yomL	-0.317307558
BSU21490	sunI	-0.353472833
BSU21810	dfrA	0.004671105
BSU22350	dnaD	-0.464263494
BSU22420	panC	0.513645175
BSU22440	birA	-0.498550842
BSU22450	cca	0.572844242
BSU22490	dapB	-0.747219493
BSU22600	aroE	0.462868563
BSU22710	aroF	0.973508563
BSU22740	hepT	0.404006118
BSU22750	ubiE	0.987093693
BSU22760	hepS	1.309750372
BSU22780	folE	-0.214018682
BSU22790	hbs	0.743297335
BSU22830	gpsA	-1.777325384
BSU22840	engA	-0.289221957
BSU22890	cmk	0.487920438
BSU23130	resC	0.415225689
BSU23140	resB	-0.010334103
BSU23220	scpA	-0.230893008
BSU23230	ypuF	0.009483173
BSU23840	yqjK	0.410068342
BSU24270	dxs	-0.415944871
BSU24310	folD	0.010355987
BSU24330	yqhY	-1.721067932
BSU24340	accC	0.066768642
BSU24350	accB	-1.47302511
BSU25070	ispG	-0.034688219
BSU25160	ispH	-0.209217926
BSU25200	sigA	-0.139088283
BSU25210	dnaG	-0.61151897
BSU25260	glyS	0.500068477
BSU25270	glyQ	0.739977106
BSU25290	era	-0.121071542
BSU25560	holA	0.500342787
BSU25640	nadD	0.250641713
BSU25670	yqeH	-0.78284564
BSU26350	sknR99	-0.057620051
BSU26350	yqaE	-0.119311732
BSU27410	alaS	0.599522086
BSU27500	mnmA	-0.557480576
BSU27550	aspS	1.353116195
BSU27560	hisS	0.549763194
BSU27880	nifS	0.043702951
BSU27940	rpmA	0.039583186
BSU27960	rplU	-0.057142381
BSU28010	mreD	-0.112728831
BSU28020	mreC	0.555068617
BSU28030	mreB	1.153808572
BSU28080	folC	0.486225586
BSU28090	valS	2.214216442
BSU28130	hemB	0.377930477
BSU28140	hemD	0.141053741
BSU28150	hemC	-0.680476353
BSU28170	hemA	-0.877091577
BSU28190	engB	-0.220624972
BSU28390	racE	0.659104489
BSU28500	trxA	0.257569878
BSU28630	pheT	1.274275632
BSU28640	pheS	1.201861318
BSU28650	ysgA	0.488969652
BSU28850	rplT	-0.537152519
BSU28870	infC	0.232723607
BSU28980	dnaI	0.139323437
BSU28990	dnaB	-0.187214238
BSU29050	ytbE	0.647936485
BSU29060	coaE	0.047617818
BSU29200	accA	-0.480706386
BSU29210	accD	-1.037526856
BSU29230	dnaE	0.38281653
BSU29660	rpsD	-1.215647525
BSU29670	tyrS	0.102778843
BSU29790	murC	-0.684077951
BSU30320	leuS	0.43402187
BSU30540	asnB	-1.996705875
BSU30550	metK	0.873224411
BSU30770	mntA	0.270297735
BSU30780	menC	-0.027677625
BSU30790	menE	-0.024231868
BSU30800	menB	-0.455888154
BSU30820	menD	-0.510396257
BSU31600	mrpA	-0.161469331
BSU31610	mrpB	-0.072274078
BSU31620	mrpC	-0.598226009
BSU31630	mrpD	-0.891288042
BSU31640	mrpE	-0.737418092
BSU31650	mrpF	-0.629856784
BSU31660	mrpG	-0.240648007
BSU32110	yumC	0.439759552
BSU32170	dapF	0.589246939
BSU32670	sufB	-1.292212937
BSU32680	iscU	-0.146119569
BSU32690	sufS	-0.656610031
BSU32700	sufD	-0.717263161
BSU32710	sufC	-0.288128599
BSU33660	rghRA	1.281911662
BSU33900	eno	1.187413421
BSU33910	pgm	0.5415639
BSU33940	gapA	0.535410609
BSU34790	trxB	0.428702196
BSU35290	prfB	-0.170684573
BSU35300	secA	-0.196194603
BSU35530	tagO	-0.307401116
BSU35600	tuaB	0.545552255
BSU35660	mnaA	0.508106513
BSU35700	tagH	-1.499739042
BSU35710	tagG	-0.927986003
BSU35720	tagF	0.149456913
BSU35740	tagD	-0.235198571
BSU35750	tagA	-0.176398331
BSU35760	tagB	-0.278791193
BSU36410	mbl	0.57337539
BSU36760	murAA	-0.710334921
BSU36900	glyA	0.270339242
BSU37010	prfA	-0.182369929
BSU37150	pyrG	-1.089818089
BSU38120	rodA	-0.120478973
BSU38490	menA	0.465514068
BSU38690	yxlC	0.496562811
BSU40400	walK	-0.870644743
BSU40410	walR	-0.529239281
BSU40440	dnaC	-0.144701769
BSU40550	ppaC	-0.476286577
BSU40890	rpsR	-0.957760624
BSU40900	ssbA	-0.615474848
BSU41050	rnpA	0.085577686
BSU_MISC_RNA_2	scr	0.093680016
BSU_MISC_RNA_35	rnpB	0.235979484
BSUtRNA23	trnI-Asn	0.55086561
none	control	0.091117567
