BSU	Gene	S-Value
BSU00010	dnaA	0.714288196
BSU00020	dnaN	1.337704503
BSU00060	gyrB	0.469955416
BSU00070	gyrA	-2.428797367
BSU00090	guaB	0.5237931985
BSU00130	serS	-0.0466088865
BSU00190	dnaX	2.8288334675
BSU00310	holB	1.5624057565
BSU00380	metS	-0.078966154
BSU00460	ipk	0.6475165055
BSU00500	glmU	1.58392639
BSU00510	prs	-0.847838258
BSU00530	pth	0.796107052
BSU00620	divIC	-0.752594816
BSU00670	tilS	-0.224552586
BSU00680	hprT	-1.012384081
BSU00770	sul	0.5405205395
BSU00780	folB	0.935309952
BSU00790	folK	1.4386282505
BSU00820	lysS	-0.7957894425
BSU00900	ispD	-0.022512144
BSU00910	ispF	0.242155585
BSU00920	gltX	0.833473871
BSU00940	cysS	-2.4984210915
BSU01000	secE	1.247327789
BSU01040	rplJ	-0.0194090615
BSU01050	rplL	0.205539569
BSU01070	rpoB	0.6388259845
BSU01080	rpoC	1.0888184035
BSU01100	rpsL	-1.7456224245
BSU01110	rpsG	-2.182969392
BSU01120	fusA	-2.1118041535
BSU01130	tufA	-1.1722839655
BSU01150	rpsJ	1.1091710915
BSU01160	rplC	-1.4572273925
BSU01170	rplD	0.300094296
BSU01190	rplB	1.990321911
BSU01200	rpsS	-1.062800446
BSU01220	rpsC	-1.656031961
BSU01230	rplP	-3.819132644
BSU01250	rpsQ	1.1324772725
BSU01260	rplN	-1.8664465625
BSU01270	rplX	-2.176266055
BSU01280	rplE	-2.1896799405
BSU01290	rpsN	1.4488549625
BSU01290	rpsNA	-1.5771008075
BSU01290	rpsNA	-1.5771008075
BSU01300	rpsH	-1.7864320615
BSU01310	rplF	-1.7697482845
BSU01320	rplR	1.7903239445
BSU01320	rplR	1.7903239445
BSU01320	rplR103	-1.2860546385
BSU01330	rpsE	-0.724951999
BSU01340	rpmD	0.915474712
BSU01360	secY	-2.475700666
BSU01370	adk	0.761473982
BSU01380	mapA	-2.8316964575
BSU01390	infA	1.624274974
BSU01410	rpsM	0.532197359
BSU01420	rpsK	-2.0613683495
BSU01430	rpoA	-2.2253635115
BSU01440	rplQ	-1.155636749
BSU01490	rplM	-1.6694005785
BSU01500	rpsI	-3.361931615
BSU01770	glmM	-0.429851753
BSU01780	glmS	-1.9739803795
BSU03100	ycgG	1.1541807005
BSU03130	nadE	1.5877755025
BSU03150	aroK	2.177574214
BSU04560	ddl	-3.77049174
BSU04570	murF	0.8713627245
BSU04620	acpS	1.323742505
BSU04620	acpS	1.323742505
BSU04620	acpS48	1.5058393405
BSU04640	alrA	2.3932511925
BSU05100	yddT	1.069854825
BSU05920	ydiC	-1.974351057
BSU05940	gcp	-0.13943311
BSU06020	groES	1.469630562
BSU06030	groEL	2.4089782975
BSU06060	ydiO	2.1856203405
BSU06070	ydiP	0.427634783
BSU06610	pcrA	0.676420514
BSU06620	ligA	1.3714115695
BSU06670	gatC	1.482153601
BSU06680	gatA	-1.335185541
BSU06690	gatB	-0.961255811
BSU06720	yerQ	0.835047566
BSU06811	yezG	2.2666407885
BSU06811	yezG	2.2666407885
BSU06811	yezG129	1.5287733905
BSU07840	yfkN	1.7973969185
BSU08930	cspR	2.3136472125
BSU09510	yhdL	1.1781717745
BSU09540	plsC	-0.8929974045
BSU09950	prsA44	0.385793042
BSU10120	hemE	0.0979263345
BSU10130	hemH	-0.365298407
BSU10140	hemY	0.5023496875
BSU10660	yisB	0.936129332
BSU11340	fabF	0.5516197845
BSU11420	trpS	1.2670270855
BSU11610	ppnK	0.9407261955
BSU12519	yjzJ	0.386365828
BSU12520	xkdB	1.8959603575
BSU12530	xkdC	0.732459595
BSU13300	mgtE	-0.8356211705
BSU14000	patA	-0.8227829155
BSU14180	dapH	-2.885321786
BSU14190	dapL	-3.2927964215
BSU14530	rnjA	0.125347929
BSU14580	pdhA	1.4883702685
BSU14840	ylaN	-0.511971282
BSU14840	ylaN	-0.511971282
BSU14840	ylaN	-0.511971282
BSU14840	ylaN	-0.511971282
BSU14840	ylaN	-0.511971282
BSU14840	ylaN187	-1.1503149675
BSU14840	ylaN190	-2.083905869
BSU14840	ylaN25	0.3448815175
BSU14840	ylaN85	-0.365614667
BSU14850	ftsW	-1.188672057
BSU15020	coaD	1.071790175
BSU15180	murE	0.347184107
BSU15190	mraY	-4.7431279495
BSU15200	murD	-2.33454188
BSU15220	murG	1.710874886
BSU15230	murB	-3.438479352
BSU15240	divIB	1.0451115525
BSU15290	ftsZ	2.556578889
BSU15290	ftsZ	2.556578889
BSU15290	ftsZ1132	3.344097385
BSU15430	ileS	-5.2201850135
BSU15680	gmk	2.619603706
BSU15700	coaBC	0.047229023
BSU15710	priA	-0.3574787745
BSU15730	fmt	-2.1517211445
BSU15830	yloU	2.202473588
BSU15890	plsX	0.398588241
BSU15900	fabD	-0.32033823
BSU15910	fabG	0.5361392625
BSU15920	acpP	-0.765183889
BSU15930	rnc	1.384239673
BSU15940	smc	0.841963037
BSU15980	ffh	-0.593665178
BSU15990	rpsP	-2.9896371785
BSU16030	trmD	1.555834618
BSU16040	rplS	-1.235595747
BSU16050	rbgA	-0.980431224
BSU16490	rpsB	-1.9827947015
BSU16500	tsf	0.380324557
BSU16510	pyrH	1.677419992
BSU16520	frr	-0.6683293625
BSU16530	uppS	-0.3563682535
BSU16540	cdsA	-0.254536555
BSU16550	dxr	-1.0720073265
BSU16570	proS	1.805336808
BSU16580	polC	-0.502811005
BSU16600	nusA	-0.420238363
BSU16630	infB	-1.347398758
BSU16670	ribC	-3.097466845
BSU16680	rpsO	0.1050371155
BSU16750	asd	-2.0006821065
BSU16760	dapG	-0.037020224
BSU16770	dapA	-1.6936189075
BSU16920	pgsA	-1.650462575
BSU16960	ymdA	-1.533260106
BSU17370	nrdI	0.5542394535
BSU17380	nrdE	1.310575842
BSU17390	nrdF	2.037930342
BSU17910	yneF	-0.1014319335
BSU18070	yneS	-0.472736032
BSU18090	parE	0.3398233205
BSU18100	parC	0.0279727165
BSU19360	odhB	-2.761194057
BSU21320	yomL	1.475654095
BSU21490	sunI	0.2700664845
BSU21810	dfrA	0.257225145
BSU22350	dnaD	1.887869752
BSU22420	panC	-1.395053408
BSU22440	birA	-0.3591390055
BSU22450	cca	2.5635530985
BSU22490	dapB	-1.3928354275
BSU22600	aroE	0.1953240025
BSU22710	aroF	1.846669504
BSU22740	hepT	0.5143363345
BSU22750	ubiE	-1.2808039885
BSU22760	hepS	-0.201679539
BSU22780	folE	0.3748763535
BSU22790	hbs	1.409251195
BSU22830	gpsA	-0.9787315525
BSU22840	engA	-0.0474852395
BSU22890	cmk	-2.509041123
BSU23130	resC	0.0181522065
BSU23140	resB	0.5973702895
BSU23220	scpA	1.028369712
BSU23230	ypuF	0.648304523
BSU23840	yqjK	1.6477042545
BSU24270	dxs	-0.1474089745
BSU24310	folD	-0.334257329
BSU24330	yqhY	-2.195626573
BSU24340	accC	1.884756519
BSU24350	accB	-1.301272117
BSU25070	ispG	1.6452898535
BSU25160	ispH	-1.2627762505
BSU25200	sigA	1.9480228535
BSU25210	dnaG	0.808494904
BSU25260	glyS	-0.193510907
BSU25270	glyQ	1.7956177135
BSU25290	era	-0.505987267
BSU25560	holA	3.1775723555
BSU25640	nadD	1.613846768
BSU25670	yqeH	-0.2678409465
BSU26350	sknR99	1.564968138
BSU26350	yqaE	1.96185129
BSU27410	alaS	0.1857690015
