BSU	Gene	S-Value
BSU00010	dnaA	0.610552476
BSU00020	dnaN	-1.661392891
BSU00060	gyrB	-1.176445943
BSU00070	gyrA	-0.383520956
BSU00090	guaB	-1.446613085
BSU00130	serS	0.134369617
BSU00190	dnaX	0.208134253
BSU00310	holB	-0.503402114
BSU00380	metS	1.225522511
BSU00460	ipk	-1.301392489
BSU00500	glmU	2.766398381
BSU00510	prs	2.527499141
BSU00530	pth	-0.770325055
BSU00620	divIC	-0.602941664
BSU00670	tilS	0.62358048
BSU00680	hprT	-0.652334963
BSU00770	sul	0.336930129
BSU00780	folB	0.671569903
BSU00790	folK	-0.210641174
BSU00820	lysS	0.547148096
BSU00900	ispD	-1.950394059
BSU00910	ispF	-2.494306719
BSU00920	gltX	1.340499243
BSU00940	cysS	0.226537723
BSU01000	secE	-0.176392961
BSU01040	rplJ	-2.113790941
BSU01050	rplL	0.005011533
BSU01070	rpoB	-2.2259445
BSU01080	rpoC	-0.036214472
BSU01100	rpsL	1.483041066
BSU01110	rpsG	1.44944787
BSU01120	fusA	1.80562813
BSU01130	tufA	0.832093475
BSU01150	rpsJ	-0.201417675
BSU01160	rplC	0.881197947
BSU01170	rplD	-0.066525665
BSU01190	rplB	-1.094627811
BSU01200	rpsS	0.879614974
BSU01220	rpsC	0.850176047
BSU01230	rplP	-0.014480407
BSU01250	rpsQ	1.626539192
BSU01260	rplN	0.438338286
BSU01270	rplX	1.34460723
BSU01280	rplE	0.347422691
BSU01290	rpsN	-0.496315505
BSU01290	rpsNA	1.776710035
BSU01290	rpsNA	1.776710035
BSU01300	rpsH	1.820850104
BSU01310	rplF	1.52371079
BSU01320	rplR	0.198816468
BSU01320	rplR	0.198816468
BSU01320	rplR103	1.766451561
BSU01330	rpsE	1.243281468
BSU01340	rpmD	-0.217582788
BSU01360	secY	1.98731004
BSU01370	adk	-0.338783186
BSU01380	mapA	1.970382752
BSU01390	infA	0.02029186
BSU01410	rpsM	-0.453407418
BSU01420	rpsK	2.971451011
BSU01430	rpoA	2.275550569
BSU01440	rplQ	-0.319550339
BSU01490	rplM	1.491300933
BSU01500	rpsI	1.496574766
BSU01770	glmM	1.579741661
BSU01780	glmS	-2.792369898
BSU03100	ycgG	-1.452591297
BSU03130	nadE	0.319836632
BSU03150	aroK	-0.612129157
BSU04560	ddl	1.981879685
BSU04570	murF	0.944563728
BSU04620	acpS	-0.733850215
BSU04620	acpS	-0.733850215
BSU04620	acpS48	0.180427985
BSU04640	alrA	0.430983087
BSU05100	yddT	-0.12115432
BSU05920	ydiC	2.485814209
BSU05940	gcp	0.253012365
BSU06020	groES	0.457854942
BSU06030	groEL	0.859224947
BSU06060	ydiO	1.048738
BSU06070	ydiP	0.404792148
BSU06610	pcrA	-0.092290633
BSU06620	ligA	-0.193791464
BSU06670	gatC	1.836702291
BSU06680	gatA	0.410412074
BSU06690	gatB	1.737511455
BSU06720	yerQ	-1.736938047
BSU06811	yezG	-0.056637957
BSU06811	yezG	-0.056637957
BSU06811	yezG129	-0.787790182
BSU07840	yfkN	0.241967645
BSU08930	cspR	0.70501726
BSU09510	yhdL	-1.088428179
BSU09540	plsC	-1.759513193
BSU09950	prsA44	0.525731619
BSU10120	hemE	2.689748996
BSU10130	hemH	2.356361298
BSU10140	hemY	2.140380078
BSU10660	yisB	-0.224912478
BSU11340	fabF	1.017698283
BSU11420	trpS	-1.692523701
BSU11610	ppnK	-0.647764426
BSU12519	yjzJ	-0.927400672
BSU12520	xkdB	-0.619158322
BSU12530	xkdC	-0.136020498
BSU13300	mgtE	1.320246253
BSU14000	patA	0.575426139
BSU14180	dapH	0.431862334
BSU14190	dapL	-1.594809972
BSU14530	rnjA	-1.813901591
BSU14580	pdhA	-0.460537197
BSU14840	ylaN	0.129583299
BSU14840	ylaN	0.129583299
BSU14840	ylaN	0.129583299
BSU14840	ylaN	0.129583299
BSU14840	ylaN	0.129583299
BSU14840	ylaN187	0.058592919
BSU14840	ylaN190	0.23481603
BSU14840	ylaN25	-1.562241924
BSU14840	ylaN85	-0.347261243
BSU14850	ftsW	1.340599583
BSU15020	coaD	0.87147387
BSU15180	murE	0.127674945
BSU15190	mraY	1.156727803
BSU15200	murD	1.515002146
BSU15220	murG	-0.859292857
BSU15230	murB	-0.426902625
BSU15240	divIB	-1.819747408
BSU15290	ftsZ	-1.05326645
BSU15290	ftsZ	-1.05326645
BSU15290	ftsZ1132	-1.28783643
BSU15430	ileS	2.100442427
BSU15680	gmk	-0.535616351
BSU15700	coaBC	1.595901762
BSU15710	priA	1.606449163
BSU15730	fmt	0.846501608
BSU15830	yloU	-0.342506534
BSU15890	plsX	1.33339092
BSU15900	fabD	1.143241572
BSU15910	fabG	-0.204571142
BSU15920	acpP	0.440872864
BSU15930	rnc	-0.142973516
BSU15940	smc	-0.492859195
BSU15980	ffh	0.577054318
BSU15990	rpsP	1.062159213
BSU16030	trmD	-0.198489799
BSU16040	rplS	1.087023596
BSU16050	rbgA	0.551058364
BSU16490	rpsB	0.614850581
BSU16500	tsf	-0.308564688
BSU16510	pyrH	-2.428886589
BSU16520	frr	-0.68129601
BSU16530	uppS	0.984557271
BSU16540	cdsA	0.826158348
BSU16550	dxr	0.837705992
BSU16570	proS	0.286825082
BSU16580	polC	1.136172873
BSU16600	nusA	0.579592555
BSU16630	infB	1.405092161
BSU16670	ribC	1.977945348
BSU16680	rpsO	1.551163936
BSU16750	asd	-0.58457674
BSU16760	dapG	-1.756449026
BSU16770	dapA	1.422233229
BSU16920	pgsA	-0.304311192
BSU16960	ymdA	0.076970799
BSU17370	nrdI	1.902293254
BSU17380	nrdE	-0.808217284
BSU17390	nrdF	-0.662970707
BSU17910	yneF	-0.585548374
BSU18070	yneS	1.280186311
BSU18090	parE	0.496081036
BSU18100	parC	0.343855272
BSU19360	odhB	0.499552461
BSU21320	yomL	-1.485627707
BSU21490	sunI	0.831023359
BSU21810	dfrA	0.984592532
BSU22350	dnaD	0.318633206
BSU22420	panC	3.215331635
BSU22440	birA	0.024888246
BSU22450	cca	0.85559662
BSU22490	dapB	-0.489411117
BSU22600	aroE	-0.057342595
BSU22710	aroF	-0.699275106
BSU22740	hepT	-0.079899239
BSU22750	ubiE	-0.61839433
BSU22760	hepS	-0.176418417
BSU22780	folE	1.000034115
BSU22790	hbs	0.200986101
BSU22830	gpsA	0.106552647
BSU22840	engA	0.746616697
BSU22890	cmk	2.136480817
BSU23130	resC	-3.781241642
BSU23140	resB	-3.18927515
BSU23220	scpA	-0.433028601
BSU23230	ypuF	-0.576011496
BSU23840	yqjK	-0.119742151
BSU24270	dxs	-1.160251337
BSU24310	folD	1.300656624
BSU24330	yqhY	2.380544453
BSU24340	accC	0.260254768
BSU24350	accB	1.395030115
BSU25070	ispG	-0.289123528
BSU25160	ispH	-1.136415119
BSU25200	sigA	-0.604297487
BSU25210	dnaG	-0.830082844
BSU25260	glyS	0.770327595
BSU25270	glyQ	0.823708855
BSU25290	era	2.78095875
BSU25560	holA	0.350945178
BSU25640	nadD	-0.763949225
BSU25670	yqeH	1.679027659
BSU26350	sknR99	0.134697238
BSU26350	yqaE	-0.652226932
BSU27410	alaS	1.501890065
BSU27500	mnmA	0.80957718
BSU27550	aspS	0.231725814
BSU27560	hisS	0.588575872
BSU27880	nifS	-0.659521895
BSU27940	rpmA	1.438007396
BSU27960	rplU	0.836245246
BSU28010	mreD	1.062775401
BSU28020	mreC	0.016694141
BSU28030	mreB	-0.488169703
BSU28080	folC	0.180482849
BSU28090	valS	1.63572638
BSU28130	hemB	0.535027884
BSU28140	hemD	-0.311611182
BSU28150	hemC	0.946447913
BSU28170	hemA	0.19167255
BSU28190	engB	0.541814487
BSU28390	racE	3.336787068
BSU28500	trxA	2.726683866
BSU28630	pheT	1.005851707
BSU28640	pheS	0.388635841
BSU28650	ysgA	-0.516846314
BSU28850	rplT	1.62165485
BSU28870	infC	1.55619809
BSU28980	dnaI	0.384276158
BSU28990	dnaB	0.228999566
BSU29050	ytbE	-0.816761382
BSU29060	coaE	0.062235563
BSU29200	accA	2.248421554
BSU29210	accD	0.662983123
BSU29230	dnaE	0.861077632
BSU29660	rpsD	1.67704474
BSU29670	tyrS	-0.681927944
BSU29790	murC	1.763081181
BSU30320	leuS	0.864711534
BSU30540	asnB	-1.303602793
BSU30550	metK	2.074605438
BSU30770	mntA	0.03945097
BSU30780	menC	0.426679843
BSU30790	menE	1.100829884
BSU30800	menB	1.227654381
BSU30820	menD	1.013044954
BSU31600	mrpA	-1.058387352
BSU31610	mrpB	-0.258349482
BSU31620	mrpC	-0.437804945
BSU31630	mrpD	0.090088984
BSU31640	mrpE	0.263512359
BSU31650	mrpF	-0.654242442
BSU31660	mrpG	-0.179739209
BSU32110	yumC	0.788578684
BSU32170	dapF	0.532575302
BSU32670	sufB	-2.405659341
BSU32680	iscU	-1.298179488
BSU32690	sufS	0.290233708
BSU32700	sufD	0.074907395
BSU32710	sufC	-0.205982857
BSU33660	rghRA	-2.33989527
BSU33900	eno	-2.075404608
BSU33910	pgm	-0.033142401
BSU33940	gapA	-1.340899346
BSU34790	trxB	0.895269551
BSU35290	prfB	-0.602065596
BSU35300	secA	-0.844488705
BSU35530	tagO	-2.063148606
BSU35600	tuaB	-0.343659402
BSU35660	mnaA	0.521332534
BSU35700	tagH	-0.944502531
